clean_text,category
"Armed groups in  Somalia https   t co 40QYHK18e3" , 0
" TaherSonni How many times the SC stat meets about the farce of the Libyan  amp  comes out with a statement but does not exceed the corridors of the SC  all the conflicting parties  amp  militias have become aware  amp  know this  so you find it to disregard any interest in the statements of the SC" , 1
" SlagOffTwits  DurinnMcFurren All Western countries have it constitutionally  most in world pay lip service to it in the law  practice can be diff   but few  none   have the same wide interpretation of it  due to much specific libel and defamation laws  or l se majest  laws regarding politicians and monarchs" , 1
"Women gave birth to heroes army turned us into weapons and at some point we ve chosen to be monsters " , 1
"  AfDB Group  amp  Ministry of Finance agree on path to launch African led solutions for  Malagasy people through ARC  Drought  floods  amp  tropical cyclones will not stop striking  and  Madagascar is taking steps to better weather its  climaterisk through  AfricanSolutions https   t co uYow8lv8Td" , 1
" This Is What I Get For Being In Love   Praise Ogbonna Share Her Domestic Violence Experience https   t co rrhwMl2yIA   Jib" , 0
"World moves a step closer to ending violence and harassment at work   CARE welcomes agreement on new  ILOconvention  ILC2018  thisisnotworking  march4women" , 1
"What a  SpinDoctor  Corrupt  Politicians have a justification for it all   but dont  walkthetalk  SriLanka  lka https   t co fsWhqowrrd" , 1
" SriLanka  lka  Corrupt  Politicians Raping the nation https   t co X7PcF4ds9I" , 1
"I sure would like to hear the spin on this from previous  GOSL  politicians   AiyoSriLanka  CORRUPTION  AbuseOfPower https   t co vlPHM5qmRk" , 1
"Residents of the border towns of Badme and Irob protest anti  EPRDFEthiopia recent decision  TPLF CC is also in closed door meeting  the issue of Ethio Eritrea will be top agenda  https   t co iWUn6nS8rU" , 1
"6 Tips for Reaching a Larger Target Market https   t co qT0TgZaTbq https   t co FN02Baht70" , 0
" JulianaLunguzi In a country with limited livelihood opportunities for young people and broken systems  amp  institutions  it s easy for young people to be exploited   Saying achinyamata pena amakonda za ulele is abit dishonest looking at how much politicians root public resources " , 1
" cyber hokie  econoar  barrysilbert  brian armstrong  rabbyte     but out here there s no law  and sometimes  that s the point     I mean  what court decided to restore user funds   AFAIK there s no  jurisdiction of ethereum         And from what I ve seen of the EOS constitution everyone s better off without one " , 1
"If more artists can do what  Jovislash does  Shed light this topic  Stop violence against women  gbv  genderbasedviolence   ThisIsSouthAfrica  EachOneTeachOne  HipHop  https   t co q3VeS2qTzH" , 1
" voicesofmeh Beautiful shots  " , 0
"What a sweet strike  Nacho  The camera almost couldn t keep up  Take a bow " , 0
"The Enemy of the good is the better voltaira https   t co BCWBkXxsr0" , 0
" fatawfreeman At least we pray before taking the photos  " , 0
"Multiple award winning dance hall artist  samini dagaati really shared a positive speech on the Sexual Assault  amp  Violence Awareness Conference organized by  TheSafeSpace  foundation    We need to support the  Obimbra  amp   TheSafeSpace  Foundation     ASafeSpace  TheSafeSpace https   t co vcLRkF9fuf" , 1
" vanyaradzayi Now we should provide for them and make them feel good and forget about the past violence by their husband" , 1
" BehindTheScenes with  africellUG  MidmorningMagazine WIDOWS  Four armed robbers are killed in a failed heist attempt  only to have their widows step up to finish the job  Stars include  Viola Davis  Michelle Rodriguez  Colin Farrell  Daniel Kaluuya  Liam Neeson  Premieres  Nov16 https   t co aVkDd6Xljt" , 0
"NOW   chant lacroix of  UNODC WCAfrica sets the stage for a discussion on legislation to control migration and counter human trafficking   with government representatives from Europe and the  Sahel  Co organized with  francediplo https   t co ysvMqMgdw6" , 1
"Thank you  IdmajSmcc for hosting  iaufrance and  Baylor this summer  Your message of citizenship  leadership  volunteerism  life skills  and social mediation is inspirational   Believe in what you do  lead by example  and never give up    studyabroad https   t co O6ExabDNMJ" , 0
"  uKwenama  AdvBarryRoux Baba we dont protest for RDPs in Zim    " , 1
" TeamCRonaldo Nigga s sperm is a sharp shooter too  " , 0
"Reading twitter and all I can think about is this protest sign https   t co 5AULcGP0w6" , 1
"On  WorldRefugeeDay we remember that protecting people fleeing persecution  violence and war is a basic act of humanity shared by all cultures and enshrined in international law  https   t co 301Bgt9Rmg" , 0
" Roni4488  spain 1957  Somerandomsham1  JeanEngel777  Craig Hubley  x1Mmejor  MactavishKev  BuckmanScott  PizzaGateLibya  SimonBradley22A  rott joseph  Pakeha56  markbjardine  VeronicaTalbot9  Clintakakk  AngryScreed  questionsin2014  frances42830555  JudgeFudge5  AnastasiaKLynch  ZionistsSuck  JBucknoff  james anderssen  dlsmith0817  NHTeaParties  Dimisoso  gallinini1  S ergeyR omanov  Imthehummus24  SamStev97679716  malkaavram  DailyCrusaderDC  louisajan1  NormaFerrie  PaulGore111  MikeMZ82  M0sstr00per  tarambbyrne  Ialbabakri  86thatplease  mighty jar  LeeFeliciano322  sharkdiveruk  Cmaofm  Print2Fits  BDSAnglia  sdeitch  PoliticsBloke  unsc  UN I have been on this thread since its beginning last December in protest to Trupet s Jerusalem declaration  It was first our space    then Zios started invading like locusts  sent by their hasbara masters  Now many of them are acting as if they were our occupiers  " , 1
"BE DILIGENT IN YOUR WORK Seest thou a man diligent in his business  He shall stand before kings  he shall not stand before mean man   Proverbs 22 29 " , 0
" hellen mathibe We learn from our politicians  " , 0
"6 Ways to Boost E commerce Sales with Influencer Marketing https   t co eS5yUwwZ6m https   t co wy2CnoUmx8" , 0
"Who s got my back      BBoyForLife  blackpanther  BackToAfrica  black  fashion  actor  LoveIsTheAnswer  love  hit  chart  smart  pop  electro  urban  message  messages  unity  fun  https   t co zcCfMTSK37" , 0
"Should protest at the raw deal St Helena is getting from  DFID UK" , 1
"Nigeria s President Buhari voting at his party s National Congress  Also pictured  IsmaeelAhmedB   one of the young leading lights in the administration  APCNationalConvention https   t co xf3nONDwGc" , 0
"So   SriLanka  Justice fails us again and that thug is back on the road  free to  Threaten  SandyaEkneligoda again    Corrupt  Judiciary  politicians" , 1
" NealHockley The ILO standard excludes the type of work you  amp  I did as kids  Per their definition  this is work that is dangerous  too strenuous  etc for children   Or results in children not attending school   The reason the study mentions child labor is that it often results in violence   3" , 1
" NealHockley You re right  the study is measuring violence against children  primarily " , 1
" Marilynrules1  x1Mmejor  malkaavram  dlsmith0817  Pakeha56  DultKathy  AnastasiaKLynch  M0sstr00per  sharkdiveruk  frances42830555  MactavishKev  Somerandomsham1  JuneSmith888  RobinLeeJohnso5  PizzaGateLibya  spain 1957  inspirationxi  Imthehummus24  SkipperpieM  orangeworx  FOYS75  JeanEngel777  markbjardine  Clintakakk  rott joseph  JudgeFudge5  ZionistsSuck  JBucknoff  VeronicaTalbot9  james anderssen  NHTeaParties  Dimisoso  gallinini1  S ergeyR omanov  SamStev97679716  DailyCrusaderDC  BuckmanScott  questionsin2014  louisajan1  SimonBradley22A  NormaFerrie  PaulGore111  MikeMZ82  tarambbyrne  Ialbabakri  86thatplease  mighty jar  LeeFeliciano322  Cmaofm  Print2Fits You find it ok for 1 million  800K pple enclosed in an area as big as Manhattan  and controlled from the walled border  the sea  and bombed from the sky every once in a while  with no right of movement outside those borders " , 1
"Glad to see formal  justice in  Gao is active  amp  working hard with support from  UN MINUSMA  IDLO  DutchMFA  USAIDMali  amp   UNDP  The tribunal is busy with both criminal and civil cases  According to the  judges the court is always full of people willing to assist to the procedures  https   t co omAALvE7Dj" , 0
"America has created laws that target specific people against entering their country  That is why its a matter of racism  not about the law  https   t co g1PdwmRjaC" , 1
" ba masauso He has the right priorities for his people  Not these belly filling politicians of ours " , 1
" FMwenge Granted But with the advent of access to data  amp  technology    analysts are armed with comparative statistics  amp  figures for similar projects in neighbouring countries included locally rejected bids that have met specifications " , 0
"Train of trainers on CAR military justice Code  Participants acknowledge the importance of good behaviour from uniformed personnel and good governance from the institutions   Recommend strong mobilization from GoCAR and partners for the promotion of accountability in SSR efforts  https   t co njHAj1VOdp" , 0
"No  transparency or  yahapalanaya  GoodGovernance here in  SriLanka     Corruption  Corrupt  Politicians https   t co Z6t8b0sm0o" , 1
" RW UNP  RamanayakeR  MaithripalaS Wish you would implement the other pledges just as fast   Corrupt  SriLanka  LKA  Politicians https   t co 9GRHC7Jiry" , 1
" tord77  hawelti Does  PM AbiyAhmed mentored by PFDJ Leaders    hilarious " , 1
"Just left a meeting with PM  NtsayC  The  Madagascar Presidential elections will take place on 7 November and 19 December  first and second rounds  respectively     Great that constitutionality is respected " , 0
" ParliamentofRSA Say no to Land expropriation   Because you are the Government  And you can   As far as we re concerned you have the last word   Do the right stuff for all of us sake   " , 1
"You wanna test your courage fight with a Chechen " , 0
" Shame on the DRC  Exploitation and the  protection of  wildlife  amp   environment do not go hand in hand      corrupt  politicians  AbuseOfPower  https   t co seR1O62ydn" , 1
"What are you trying to say  I am realizing that we have to fight for language as well  You can t use rape anyhow   If you re not a survivor please leave it alone   Thank you  TheBigQuestion" , 1
" XUDAI079  80 Mudau  Women are not rapists or violent      Yall messing up the entire feminism movement   Women can be just as much capable of being predators" , 1
"If we want women to participate in  SALW control processes  we have to invest in building their capacities to do so  Tnx  UNRCPD for organizing the Workshop for Southeast Asia on Gun Violence and Illicit Small Arms Trafficking from a Gender Perspective  IANSAWomen https   t co ur2c48JxmY" , 1
"The time has come to reveal to you the artists with whom we are collaborating to  MakeHistory    Get excited when your favorite ones appear and share with the rest of the world  join the movement   To stay updated      https   t co 6R7dDBAgyC     https   t co kL0fPZ1Fxe  https   t co w8wgNRxdPE" , 0
" TrillxLove God bless him" , 0
"Checked flights 2 weeks back and didn t book and after a week of monitoring I finally accepted defeat last night and booked my flight home for DOUBLE the price it was two weeks ago     Woke up today and realised my countdown has begun      too soon   BitterSweet   https   t co 805Syt7tNi" , 0
"Politicians are just inciting those locals for their own gain " , 1
"PRCM and partners  Ministery of fisheries of Guinea   FisheriesTI CAOPA  Mauritanie 2000 shared with journalist the issues on transparency in fisheries and Conakry Declaration to enhance transparency and stakeholders participation in fisheries management in West Africa   MavaFdn https   t co lTOz8IB2c8" , 1
"I pray I have that one person I could call and text any time any day    Amen  " , 0
"Happy 54th Independence folks  Too little to celebrate about  fact  Too much to complaign about  fact  But lets  determine  to simply focus on what we can do  In our small way and corner of influence lets push   fight 4 better Malawi   Most importantly lets be change we want Hope" , 1
" DCI Kenya Great to see your statement on student unrest  If a student is involved  the same must be reflected in their certificate of good conduct  You must also restore the sanctity of this certificate  FredMatiangi  How do some politicians get it  " , 1
"Fighting Japan    prayforjapan  fighting  japan  bowboeing Cr  from internet  thanks    https   t co 58PBfqOD71" , 0
"The  IDF s shooting of thousands of unarmed Palestinians  including medical workers  journalists and children  did not succeed in ending the protests in  Gaza  so  Israel has now decided to deprive the people of Gaza of even more necessities    https   t co EM3gNLnHyr  warcrimes" , 1
" MariusSheya Omuangete  just before Okanguati  I ve tried reaching MK on whether there are drought relief bags at the Hon s office so we can take  his numbers are going unanswered " , 0
"When you have the opportunity just take it    jumpingphoto  marrakech    morroco  koutoubia  daworldtraveler  africanadventure  mosque   travelphotography  travel  worldtraveler   Place  https   t co e1fwrOjuyJ" , 0
"This is  CutenessOverloaded protest  https   t co 0PCr2f53Zx" , 0
" CardolphD He has try a lots  because it s is not easy for a change of government to go through all this fight inside 100 day and did all what they have done   let s just continue give them another 100 Days n see" , 1
"Who is the candidate for Red card movement in  EkitiDecides    You can t make real and impactful  change from the top " , 1
"the Trump protest is so funny  like what is the goal  people go out and protest with no end goal" , 1
"Ndimqhwabe  Or will I be too violent " , 0
" IFRC strategic planning workshop on mixed migration in Niger Thank you for including  UNHCR to this important reflection  This opportunity has strengthen our ties to continue saving lives and protect together  On est ensemble   Federation  UNHCRNiger  UNHCRWestAfrica  cochetel https   t co gHW6fLRta4" , 0
" FRA  3 000 people invited to reception at Elys e presidential palace  incl 1 000 youths fr football clubs around the country such as Bondy  Paris suburb where 19 year old forward Kylian Mbapp  first started his career   in order that they can welcome the Blues  Allez les Bleus " , 0
"pray for me" , 0
" segalink  https   t co Bwst81rQCp   kindly join us as Volunteer on whatsapp for your  AmINext t shirt  It s time to take back the society that we deserve     This group is mainly for the movement of the  EndSARs campaign  no other issues would be entertained  Thanks" , 1
"BBC News    ISIS fighters  orphaned children stranded in  Libya https   t co c5eudk7pZh" , 1
"Also in Russian press release it was stated that M 1 champions will have guaranteed chance to sign with UFC  I m pretty sure they trying to mislead fighters so they will sign with them for lower purses just for the opportunity to fight in ufc" , 0
"Before you go to sleep today  ask your self this   have you at least tried to vote for PelePele by SMSing 94231 and sending it to 45757    Please siza umjita    Kagogo https   t co QK6v5TV4Cq" , 0
" Duesstwin Oo God can a beautiful girl like this be my wife" , 0
" olgaNYC1211 Australia wouldn t let DJT open a casino due to  mob and organised crime connections   So how was he allowed to run for public office   https   t co 11ogtpvbal" , 1
" allenharperr They should have teargassed or hit tgem niggas with rubber bullets " , 1
"Hard to describe the cultural significance  social movement  indeed wisdom of the  hibf this year  In its 11th year  v pleased to share the experience  amp take in the moments   Gobannimo  amp   JamaMusse planted beautiful seeds  amp  pioneered a Horn of Africa renaissance   HIBF2018  SSIA18 https   t co Uol6upBXWP" , 0
"But this  BankWars sweet pass the rubbish wey politicians dey do sha " , 0
" take it from secondhand sources  May you explain to us what Ahmadiyya Islam is exactly  Q2  May you clarify what you mean by the term  Seal of the Prophets   Many Muslims take that to mean the end  or the last  " , 0
"Expelling mother with food for theirs sons jailed by protest against OrtegaMurillo Genocide regime is criminal behavior   UniNoticias  UN  Almagro OEA2015  OEA oficial  CNN  elmundoes  CBSNews  ABC  elpais espana  latimes  nytimes is true  JC OrtMu  LaureanoOrtegaM  ortega payo" , 1
" SABreakingNews I thought Cape Town is the most violent  place in South Africa but it seems as if I was lying to myself   KZN iyabusa stru " , 1
"We can t fight with God s decision" , 0
" Burundi   Striking a pose with  IngoMagazine    Comeandseeburundi com https   t co JIzSP7Pslw" , 0
" ilynem Na so o  They go settle behind close doors  They act the movie  we watch n fight ourselves" , 0
"I knowit goes against our cultural grain in  Zimbabwe to celebrate people  except politicians  until they are dead   when we sing their praises at their graveside  But we shd learn to celebrate our heroes  incl intellectual  while they are still alive  so they know   SamirAmin" , 0
"Proud to be a leader in  Mozambique Spotlight against Gender based Violence harmful practices and team up w stakeholders fr 5 Ministries  CSOs  UN  EU  other partners    unfpa https   t co cKE3gVJiZ3" , 1
" Update  only the Cambodian Nationality Party  CNP  have gathered here  Initial info was that all opposition parties will be gathering here  Cambodia  ElectionsKH https   t co nUHCj8N5sE" , 1
"It s been a year since  Tunisia passed a groundbreaking law on violence against women  There s still a long way to go https   t co fiUVgWSpUV" , 1
"Glad to have been the guest at Kismayo Presidential palace  see  port and the beach     Kismayobeaches   TravelAfrica https   t co zQwZKax8jv" , 0
"7 43am at Ecole Plateau  where there are 14 PUs  At 7 44am all PUs were observed setting up by officials  including CENI  amp d constitutional court  Voting started at 8 00am  Security presence  police  sighted outside and inside the Polling Station   Mali2018   MaliDecides2018 https   t co TOucx5inur" , 0
"Any society is blind to own violence" , 1
"South African and struggling with the fuel price   We protest for everything else   but when it comes to the fuel price we just conform     Im not understanding the logicness of these  https   t co 5SSlInV3NQ" , 1
"Sarukaaru office thakuga ulhey Male  ah  vote laa Male  raiyyithunge Vote eheh rah rashah Re registry eba kuruvaa   ElectionsMv" , 0
"Yuval Noah Harari rebuffs Israeli consulate event in protest of new Israeli laws https   t co IGq3cr24t2" , 1
" NTANewsNow I can t believe NTA are biased on report on Maiduguri protest by keke nape raiders     To bad NTA" , 1
"  Instead  I write a paper about crime and punishment in Iran  I write that crime is an unlawful act of violence that can be committed by anyone  and that punishment is the consequence designed for criminals who don t have the economic means to cover it up  Throughout history " , 1
" citizentvkenya This violence against the women is not acceptable and the security forces should arrest the man immediately  The dignity of the vulnerable and marginalized should not be compromised this far in narrative of marriage " , 1
"I can t understand  why people blocked the road anytime for any issue  this is a fashon of Bangladesh  Whatever the issue  there are many ways to protest and showing arguments except roads block  Common people should be suffered this the normal phenomenon of our culture " , 1
" RoadSafety protest going on in Dhaka  Stumbled upon this powerful photo  https   t co ucA9zFhwLM" , 1
"Students have been checking license and legal papers of all vehicles while protesting peacefully  Dhaka Metropolitan Police and Chattra League attacked students and broke cameras of journalists in the middle of the protests at Mirpur  Dhaka today    WeWantJustice  RoadSafety https   t co V6AgZJGO0w" , 1
" EFF ward78  Tyrone Mkansi  Lesufi  GautengProvince  Julius S Malema  Powerfm987  votfm 876  MidrandReporter  ERalethole  effjoburg  GardeeGodrich  ewnupdates MEC is wearing two caps  Is district office aware about the protest " , 1
"https   t co mr1MoMU1tM L  IMPORTANCE DE LA FAMILLE EN ISLAM    " , 0
" Curate Angola Dude I need to see the whole Ted Talk because this is beyond unbelievable and if that s true those people should be put to jail ASAP  clearly they don t have children s WTF" , 0
" STAND FOR BANGLADESHI STUDENTS  SAVE OUR BROTHERS AND SISTERS  RISE YOUR VOICE AGAINST SAFE ROADS  WE WANT SAFE ROADS   This is a low situation of Bangladesh  safe roads movement is the main crisis in Bangladesh at this time  It is a heartiest demand every people of bangladesh " , 1
"Howard Schultz  potential Democratic Presidential Candidate for 2020  Huge credentials " , 0
"The Chronicle   Grumbling in Ghana armed forces        SweetMelodiesNews  news  frontpages  NewspaperReview  WhatsGoingOn https   t co uWC7ZmbSvq" , 1
"The famous photographer  shahidul was arrested last night and the court sent him for 7 days remand  Last night he gave an interview on  AJEnglish  After that he was abducted from his house  his house   WeWantJustice  https   t co 9pKSc0gvlY https   t co 3EqnkfFkDV" , 1
"Wen the Mafia movement team pose for a pic  Congratulations to Ali coz dem don t knw whom dem deal with     Kyambogo University https   t co 6J91vvN6Lp" , 0
" DRC  RassemblementNational candidate F lix  Tshiseked on way to submit presidential candidate papers at Electoral Commission  C SOI  uaykani https   t co RyVSDGHGTT" , 0
